Test_Number,Test_Date,Day_Type,Work_Metric,Work_Value
1,2023-03-20,Monday,Trackwork,5
1,2023-03-20,Tuesday,Trackwork,5
1,2023-03-20,,Jumpout,5
1,2023-03-20,Wednesday,Trackwork,5
1,2023-03-20,Thursday,Trackwork,2
1,2023-03-20,,Gallop,3
1,2023-03-20,Friday,Trackwork,5
1,2023-03-20,Saturday,Trackwork,5
2,2023-05-01,Monday,Trackwork,4
2,2023-05-01,,Gallop,2
2,2023-05-01,,Trials,6
2,2023-05-01,,Other,1 hr mechanical horse
2,2023-05-01,Wednesday,Trackwork,9
2,2023-05-01,,Races ,1
2,2023-05-01,Thursday,Trackwork,4
2,2023-05-01,,Gallop,5
2,2023-05-01,Friday,Trackwork,9
2,2023-05-01,Saturday,Trackwork,3
2,2023-05-01,,Gallop,4
2,2023-05-01,,Races ,4
3,2023-06-12,Monday,Trackwork,10
3,2023-06-12,Tuesday,Trackwork,4
3,2023-06-12,,Gallop,4
3,2023-06-12,,Other,mechanical horse
3,2023-06-12,Wednesday,Trackwork,9
3,2023-06-12,,Other,mechanical horse
3,2023-06-12,Thursday,Trackwork,4
3,2023-06-12,,Gallop,8
3,2023-06-12,,Other,mechanical horse
3,2023-06-12,Friday,Trackwork,10
3,2023-06-12,Saturday,Trackwork,6
3,2023-06-12,,Races ,7
4,2023-07-17,Monday,Trackwork,7
4,2023-07-17,,Other,Mechanical horse
4,2023-07-17,Tuesday,Trackwork,6
4,2023-07-17,,Gallop,2
4,2023-07-17,,Trials,7
4,2023-07-17,Wednesday,Trackwork,9
4,2023-07-17,Thursday,Trackwork,4
4,2023-07-17,,Gallop,3
4,2023-07-17,,Races ,7
4,2023-07-17,Friday,Trackwork,4
4,2023-07-17,,Jumpout,9
4,2023-07-17,,Falls,1 (jumpouts)
4,2023-07-17,Saturday,Trackwork,2
4,2023-07-17,,Gallop,6
4,2023-07-17,,Races ,6
4,2023-07-17,,Other,Mechanical horse
4,2023-07-17,Fitness focus,,Get enough rest
5,2023-10-09,Monday,Trackwork,10
5,2023-10-09,Tuesday,Trackwork,5
5,2023-10-09,,Gallop,5
5,2023-10-09,,Trials,8
5,2023-10-09,Wednesday,Trackwork,7
5,2023-10-09,,Races ,5
5,2023-10-09,Thursday,Trackwork,6
5,2023-10-09,,Gallop,1
5,2023-10-09,,Races ,7
5,2023-10-09,Friday,Trackwork,9
5,2023-10-09,Saturday,Trackwork,6
5,2023-10-09,,Gallop,1
5,2023-10-09,,Races ,3
5,2023-10-09,Fitness focus,,Get more sleep
6,2023-11-20,,Races ,3
6,2023-11-20,Wednesday,Trackwork,4
6,2023-11-20,,Gallop,1
6,2023-11-20,,Other,1hr mechanical horse
6,2023-11-20,Thursday,Trackwork,6
6,2023-11-20,,Gallop,3
6,2023-11-20,Friday,Trackwork,9
6,2023-11-20,,Races ,4
6,2023-11-20,,Gallop,2
6,2023-11-20,,Races ,5
6,2023-11-20,Fitness focus,,get more sleep
7,2023-12-11,Monday,Trackwork,4
7,2023-12-11,,Jumpout,10
7,2023-12-11,Tuesday,Trackwork,5
7,2023-12-11,,Gallop,3
7,2023-12-11,Wednesday,Trackwork,9
7,2023-12-11,,Other,mechanical horse
7,2023-12-11,Thursday,Trackwork,3
7,2023-12-11,,Gallop,3
7,2023-12-11,,Races ,5
7,2023-12-11,Friday,Trackwork,6
7,2023-12-11,,Other,mechanical horse
7,2023-12-11,Saturday,Trackwork,3
7,2023-12-11,,Gallop,3
7,2023-12-11,,Races ,5
8,2024-03-04,Monday,Trackwork,9
8,2024-03-04,Tuesday,Trackwork,4
8,2024-03-04,,Gallop,4
8,2024-03-04,,Other,mechanical horse
8,2024-03-04,Wednesday,Trackwork,8
8,2024-03-04,Thursday,Trackwork,5
8,2024-03-04,,Gallop,3
8,2024-03-04,,Other,mechanical horse
8,2024-03-04,Friday,Trackwork,10
8,2024-03-04,Saturday,Trackwork,2
8,2024-03-04,,Gallop,2
8,2024-03-04,,Other,mechanical horse
8,2024-03-04,,Races ,4
9,2024-05-20,Monday,Trackwork,10
9,2024-05-20,,Other,Mechanical horse (30 mins)
9,2024-05-20,Tuesday,Trackwork,4
9,2024-05-20,,Gallop,6
9,2024-05-20,,Other,Mechanical horse (40 mins)
9,2024-05-20,Wednesday,Trackwork,7
9,2024-05-20,,Gallop,2
9,2024-05-20,Thursday,Trackwork,6
9,2024-05-20,,Gallop,4
9,2024-05-20,,Other,Mechanical horse (30 mins)
9,2024-05-20,Saturday,Trackwork,4
9,2024-05-20,,Gallop,3
9,2024-05-20,,Races ,8
9,2024-05-20,,Races ,3
9,2024-05-20,Fitness focus,,Sleep
10,2024-07-01,Monday,Trackwork,8
10,2024-07-01,,Gallop,1
10,2024-07-01,Tuesday,Trackwork,6
10,2024-07-01,,Gallop,4
10,2024-07-01,Wednesday,Trackwork,5
10,2024-07-01,,Gallop,4
10,2024-07-01,Thursday,Trackwork,5
10,2024-07-01,,Gallop,3
10,2024-07-01,,Trials,11
10,2024-07-01,Friday,Trackwork,8
10,2024-07-01,,Races ,7
10,2024-07-01,Saturday,Trackwork,6
10,2024-07-01,,Gallop,2
10,2024-07-01,,Races ,5
10,2024-07-01,Fitness focus,,Sleep
11,2024-08-12,Monday,Trackwork,12
11,2024-08-12,Tuesday,Trackwork,4
11,2024-08-12,,Gallop,4
11,2024-08-12,,Trials,8
11,2024-08-12,Wednesday,Trackwork,5
11,2024-08-12,,Races ,4
11,2024-08-12,Thursday,Trackwork,4
11,2024-08-12,,Gallop,4
11,2024-08-12,,Jumpout,2
11,2024-08-12,Friday,Trackwork,8
11,2024-08-12,,Gallop,2
11,2024-08-12,,Races ,5
11,2024-08-12,Saturday,Trackwork,2
11,2024-08-12,,Gallop,2
11,2024-08-12,,Races ,7
11,2024-08-12,Fitness focus,,sleep and relax
12,2024-10-14,,Jumpout,17
12,2024-10-14,Tuesday,Trackwork,5
12,2024-10-14,,Gallop,2
12,2024-10-14,,Jumpout,10
12,2024-10-14,Wednesday,Trackwork,8
12,2024-10-14,,Races ,3
12,2024-10-14,Thursday,Trackwork,5
12,2024-10-14,,Gallop,4
12,2024-10-14,Friday,Trackwork,8
12,2024-10-14,,Races ,2
12,2024-10-14,,Races ,1
12,2024-10-14,Fitness focus,,sleep
13,2025-03-12,Monday,Trackwork,6
13,2025-03-12,Tuesday,Trackwork,5
13,2025-03-12,,Gallop,4
13,2025-03-12,Wednesday,Trackwork,7
13,2025-03-12,,Jumpout,7
13,2025-03-12,Thursday,Trackwork,7
13,2025-03-12,,Gallop,2
13,2025-03-12,Friday,Trackwork,7
13,2025-03-12,,Jumpout,3
13,2025-03-12,,Races ,4
13,2025-03-12,Saturday,Trackwork,2
13,2025-03-12,,Races ,9
13,2025-03-12,Fitness focus,,sleep
14,2025-04-23,,Gallop,2
14,2025-04-23,Tuesday,Trackwork,5
14,2025-04-23,,Gallop,2
14,2025-04-23,,Trials,9
14,2025-04-23,Wednesday,Trackwork,6
14,2025-04-23,,Races ,4
14,2025-04-23,Thursday,Trackwork,6
14,2025-04-23,,Gallop,1
14,2025-04-23,Friday,Trackwork,6
14,2025-04-23,,Gallop,1
14,2025-04-23,,Other,mechanical horse
14,2025-04-23,Saturday,Trackwork,6
14,2025-04-23,,Gallop,1
14,2025-04-23,,Races ,1
14,2025-04-23,,Races ,1
