,Food_Total_Entries,Food_Unique_Items,Food_Meal_Types,Food_Breakfast_Count,Food_Lunch_Count,Food_Dinner_Count,Food_Snack_Count,Food_Snack_Ratio,Food_Diversity_Index,Sleep_Total_Entries,Sleep_Unique_Metrics,Sleep_Duration_Hours,Sleep_Quality_Score,Sleep_Fall_Asleep_Minutes,Sleep_Caffeine_Count,Work_Total_Entries,Work_Unique_Metrics,Work_Average_Value,Work_Max_Value,Work_Activity_Diversity,Work_Trackwork_Count,Work_Gallop_Count,Work_Races_Count
Food_Total_Entries,1.0,0.9263727848187205,0.9294115165939104,0.8494580456696593,0.8871374453304407,0.8943090666658932,0.9151728866594905,0.9714542121398893,0.8390040524335479,0.011071114774536815,-0.08299193997571232,,,,,0.9169297366321372,0.7582097381549421,0.559086173234541,0.5102611504500718,0.6312417564760409,0.8131635151779819,0.6384018840355729,0.5813946229820284
Food_Unique_Items,0.9263727848187205,1.0,0.8353711966260206,0.6933538040114264,0.7640028826928029,0.830569630898411,0.893114184280649,0.9288957589849959,0.9155033427763343,0.12751841673968559,-0.027648553361851805,,,,,0.8230136191804194,0.6606066720190606,0.4814762984921203,0.5547921202072557,0.5094776586864022,0.5913688454718269,0.5705586889057712,0.7040506623928693
Food_Meal_Types,0.9294115165939104,0.8353711966260206,1.0,0.9484859229733648,0.9861405472826469,0.9676617194879972,0.7109760602336995,0.8263954433941803,0.8931367131864507,-0.023551360349077143,-0.0950496913043516,,,,,0.894128201457549,0.7914894987620472,0.31400201956559026,0.5000000000000006,0.8020315717731596,0.8149332621614066,0.6426128849566801,0.600001176358719
Food_Breakfast_Count,0.8494580456696593,0.6933538040114264,0.9484859229733648,1.0,0.9678842430441246,0.9255555501172548,0.5764506305959939,0.7085073724024298,0.7905072529042381,-0.09275319036912574,-0.09197090092274479,,,,,0.8506984963254566,0.7930099386539053,0.22149196908346852,0.16666666666666646,0.8650589921243518,0.868636091223596,0.6072015770015518,0.47518298810084836
Food_Lunch_Count,0.8871374453304407,0.7640028826928029,0.9861405472826469,0.9678842430441246,1.0,0.9385341242083942,0.6372030510045525,0.7597888386210775,0.8474962310633165,-0.05216409499158984,-0.08163265306122446,,,,,0.8449630217235278,0.7611190791272326,0.16635637935825187,0.11322770341445972,0.8407984009281876,0.8420904218701075,0.5810526391981856,0.5153061224489796
Food_Dinner_Count,0.8943090666658932,0.830569630898411,0.9676617194879972,0.9255555501172548,0.9385341242083942,1.0,0.6620570765485874,0.7827689757633415,0.9159822203340209,-0.005232129503151028,-0.10030135678562994,,,,,0.9151298039919561,0.8352207094835356,-0.056600373906520625,0.5227083734893169,0.8089979110940817,0.7609576407176826,0.706771286426684,0.6895718279012055
Food_Snack_Count,0.9151728866594905,0.893114184280649,0.7109760602336995,0.5764506305959939,0.6372030510045525,0.6620570765485874,1.0,0.9820841142778317,0.6616219719390188,0.06466267641027404,-0.05893463545452392,,,,,0.778359158485979,0.5731890661915277,0.5817991044564181,0.4687633574802289,0.3169185955326911,0.6430654425900915,0.5180682287860411,0.4854352867701582
Food_Snack_Ratio,0.9714542121398893,0.9288957589849959,0.8263954433941803,0.7085073724024298,0.7597888386210775,0.7827689757633415,0.9820841142778317,1.0,0.7595756897337846,0.03804199888300896,-0.08281674594922529,,,,,0.8599195596476991,0.6699683305578987,0.5800046513965483,0.50223042960895,0.4586387512280704,0.7231212757667425,0.5906166375246383,0.5528692685454646
Food_Diversity_Index,0.8390040524335479,0.9155033427763343,0.8931367131864507,0.7905072529042381,0.8474962310633165,0.9159822203340209,0.6616219719390188,0.7595756897337846,1.0,0.11557884183909334,-0.019770464942566193,,,,,0.7948836285209732,0.7120107521740094,0.2005982033172634,0.44364513337377737,0.7097874320115248,0.5678318423041407,0.5781040136807628,0.7532690160014814
Sleep_Total_Entries,0.011071114774536815,0.12751841673968559,-0.023551360349077143,-0.09275319036912574,-0.05216409499158984,-0.005232129503151028,0.06466267641027404,0.03804199888300896,0.11557884183909334,1.0,0.9565675601055167,,,,,-0.06965317117264257,-0.10490325719644111,0.5198938461699473,0.259536267862623,-0.08978884951471276,-0.02695700688368915,-0.29945147587189624,-0.09111780229050435
Sleep_Unique_Metrics,-0.08299193997571232,-0.027648553361851805,-0.0950496913043516,-0.09197090092274479,-0.08163265306122446,-0.10030135678562994,-0.05893463545452392,-0.08281674594922529,-0.019770464942566193,0.9565675601055167,1.0,,,,,-0.17079039800794724,-0.16451742565457989,0.5234145578716705,0.11322770341445935,-0.06219702500722997,0.011059348880095183,-0.4353036494327546,-0.2857142857142858
Sleep_Duration_Hours,,,,,,,,,,,,,,,,,,,,,,,
Sleep_Quality_Score,,,,,,,,,,,,,,,,,,,,,,,
Sleep_Fall_Asleep_Minutes,,,,,,,,,,,,,,,,,,,,,,,
Sleep_Caffeine_Count,,,,,,,,,,,,,,,,,,,,,,,
Work_Total_Entries,0.9169297366321372,0.8230136191804194,0.894128201457549,0.8506984963254566,0.8449630217235278,0.9151298039919561,0.778359158485979,0.8599195596476991,0.7948836285209732,-0.06965317117264257,-0.17079039800794724,,,,,1.0,0.8966332358490182,0.10913571281714454,0.30164096555644315,0.6723418154517369,0.7884376560175149,0.8080201921685509,0.6651836553993731
Work_Unique_Metrics,0.7582097381549421,0.6606066720190606,0.7914894987620472,0.7930099386539053,0.7611190791272326,0.8352207094835356,0.5731890661915277,0.6699683305578987,0.7120107521740094,-0.10490325719644111,-0.16451742565457989,,,,,0.8966332358490182,1.0,-0.029968595757864473,0.06454972243679007,0.8329205136318318,0.701470115625513,0.6242214417022709,0.5758109897910298
Work_Average_Value,0.559086173234541,0.4814762984921203,0.31400201956559026,0.22149196908346852,0.16635637935825187,-0.056600373906520625,0.5817991044564181,0.5800046513965483,0.2005982033172634,0.5198938461699473,0.5234145578716705,,,,,0.10913571281714454,-0.029968595757864473,1.0,0.4307777851748847,-0.23279727618928628,0.32591231662092723,-0.3239548790397985,-0.17736079014619213
Work_Max_Value,0.5102611504500718,0.5547921202072557,0.5000000000000006,0.16666666666666646,0.11322770341445972,0.5227083734893169,0.4687633574802289,0.50223042960895,0.44364513337377737,0.259536267862623,0.11322770341445935,,,,,0.30164096555644315,0.06454972243679007,0.4307777851748847,1.0,-0.30834898140965267,-0.29047375096555594,0.15911145683514621,0.5610836076867822
Work_Activity_Diversity,0.6312417564760409,0.5094776586864022,0.8020315717731596,0.8650589921243518,0.8407984009281876,0.8089979110940817,0.3169185955326911,0.4586387512280704,0.7097874320115248,-0.08978884951471276,-0.06219702500722997,,,,,0.6723418154517369,0.8329205136318318,-0.23279727618928628,-0.30834898140965267,1.0,0.6964258710779653,0.36611241103436715,0.38930299019338643
Work_Trackwork_Count,0.8131635151779819,0.5913688454718269,0.8149332621614066,0.868636091223596,0.8420904218701075,0.7609576407176826,0.6430654425900915,0.7231212757667425,0.5678318423041407,-0.02695700688368915,0.011059348880095183,,,,,0.7884376560175149,0.701470115625513,0.32591231662092723,-0.29047375096555594,0.6964258710779653,1.0,0.478107747522649,0.21012762872180918
Work_Gallop_Count,0.6384018840355729,0.5705586889057712,0.6426128849566801,0.6072015770015518,0.5810526391981856,0.706771286426684,0.5180682287860411,0.5906166375246383,0.5781040136807628,-0.29945147587189624,-0.4353036494327546,,,,,0.8080201921685509,0.6242214417022709,-0.3239548790397985,0.15911145683514621,0.36611241103436715,0.478107747522649,1.0,0.6563562839103252
Work_Races_Count,0.5813946229820284,0.7040506623928693,0.600001176358719,0.47518298810084836,0.5153061224489796,0.6895718279012055,0.4854352867701582,0.5528692685454646,0.7532690160014814,-0.09111780229050435,-0.2857142857142858,,,,,0.6651836553993731,0.5758109897910298,-0.17736079014619213,0.5610836076867822,0.38930299019338643,0.21012762872180918,0.6563562839103252,1.0
