Test_Number,Test_Date,Day_Type,Meal_Type,Food_Item
1,2023-03-20,Monday,Breakfast,sandwich
1,2023-03-20,,Lunch,"Chicken, rice, salad"
1,2023-03-20,Tuesday,Breakfast,toasts
1,2023-03-20,,Lunch,toasts
1,2023-03-20,,Dinner,"beef mince, pasta"
1,2023-03-20,Wednesday,Breakfast,toast
1,2023-03-20,,Snack1,biscuits
1,2023-03-20,,Lunch,toast
1,2023-03-20,,Dinner,fried chicken
1,2023-03-20,Thursday,Breakfast,toast
1,2023-03-20,,Snack1,biscuits
1,2023-03-20,,Lunch,toast
1,2023-03-20,,Dinner,fried rice and beef
1,2023-03-20,Friday,Breakfast,toast
1,2023-03-20,,Lunch,toast
1,2023-03-20,,Dinner,chicken and pasta
1,2023-03-20,Saturday,Breakfast,toast
1,2023-03-20,,Lunch,toast
1,2023-03-20,,Snack2,chocolate
1,2023-03-20,,Dinner,pizza
1,2023-03-20,Sunday,Breakfast,toast
1,2023-03-20,,Lunch,sandwich
1,2023-03-20,,Snack2,chocolate
2,2023-05-01,Monday,Breakfast,rice and chicken
2,2023-05-01,,Snack1,cookie
2,2023-05-01,,Lunch,cereal and milk
2,2023-05-01,,Dinner,rice and chicken
2,2023-05-01,Tuesday,Breakfast,rice and chicken and broccoli
2,2023-05-01,,Snack1,gummies
2,2023-05-01,,Lunch,toast and tea
2,2023-05-01,,Dinner,rice and chicken and beer
2,2023-05-01,Wednesday,Breakfast,toast and ham and tea
2,2023-05-01,,Lunch,cereal and milk
2,2023-05-01,,Snack2,chocolate
2,2023-05-01,,Dinner,rice and pork
2,2023-05-01,Thursday,Breakfast,toast and cheese and tea
2,2023-05-01,,Lunch,chicken wrap
2,2023-05-01,,Snack2,biscuits
2,2023-05-01,,Dinner,rice and pork and beer
2,2023-05-01,Friday,Breakfast,rice and pork and spinach
2,2023-05-01,,Snack1,gummies
2,2023-05-01,,Lunch,toast
2,2023-05-01,,Dinner,burger
2,2023-05-01,Saturday,Breakfast,cereal and milk
2,2023-05-01,,Snack2,chocolate and tea
2,2023-05-01,,Dinner,burger
2,2023-05-01,Sunday,Breakfast,toast and cheese and ham
2,2023-05-01,,Lunch,toast
2,2023-05-01,,Dinner,bread and mushrooms and beer
3,2023-06-12,Monday,Breakfast,toasts
3,2023-06-12,,Snack1,nuts
3,2023-06-12,,Lunch,dahl and roti
3,2023-06-12,Tuesday,Breakfast,chicken wrap and coffee
3,2023-06-12,,Snack1,cookies
3,2023-06-12,,Lunch,chicken and rice
3,2023-06-12,,Snack2,chips
3,2023-06-12,,Dinner,chicken and pumpkin wrap
3,2023-06-12,,Snack3,beer
3,2023-06-12,Wednesday,Breakfast,cheese corn wrap and coffee
3,2023-06-12,,Snack1,cookies
3,2023-06-12,,Lunch,banana and coffee
3,2023-06-12,,Snack2,banana
3,2023-06-12,,Dinner,cheese corn wrap
3,2023-06-12,,Snack3,almond
3,2023-06-12,Thursday,Breakfast,"bagel, egg and bacon"
3,2023-06-12,,Snack1,biscuits
3,2023-06-12,,Lunch,"milk tea and toast, banana"
3,2023-06-12,,Snack2,almond
3,2023-06-12,,Dinner,"banana, cheese corn wrap"
3,2023-06-12,,Snack3,cookies
3,2023-06-12,Friday,Breakfast,"banana, cheese wrap and milk tea"
3,2023-06-12,,Snack1,cookies
3,2023-06-12,,Lunch,a slice of pizza and milk tea
3,2023-06-12,,Snack2,kiwi fruit
3,2023-06-12,,Dinner,sandwich
3,2023-06-12,,Snack3,almond
3,2023-06-12,Saturday,Breakfast,sandwich
3,2023-06-12,,Snack1,chocolates
3,2023-06-12,,Lunch,sandwich
3,2023-06-12,,Snack2,biscuit
3,2023-06-12,,Dinner,chicken and rice
3,2023-06-12,,Snack3,beer
3,2023-06-12,Sunday,Breakfast,sandwich and coffee
3,2023-06-12,,Snack1,chocolate
3,2023-06-12,,Lunch,toast
3,2023-06-12,,Snack2,-
3,2023-06-12,,Dinner,beef pho and ginger beer
4,2023-07-17,Monday,Breakfast,"handful of peanuts, toasts, milk tea"
4,2023-07-17,,Snack1,biscuit x 4
4,2023-07-17,,Lunch,toasts x2 
4,2023-07-17,,Snack2,cookies and mandarin
4,2023-07-17,,Dinner,"banana, bread and cheese"
4,2023-07-17,,Snack3,cashew
4,2023-07-17,Tuesday,Breakfast,sausage sandwich
4,2023-07-17,,Snack1,biscuit x 2
4,2023-07-17,,Lunch,sausage sandwich
4,2023-07-17,,Snack2,cookies x3
4,2023-07-17,,Dinner,peanut butter toasts x2
4,2023-07-17,,Snack3,cashew
4,2023-07-17,Wednesday,Breakfast,"banana wrap, milk tea"
4,2023-07-17,,Snack1,peanuts and biscuit x2
4,2023-07-17,,Lunch,peanut butter toasts x2
4,2023-07-17,,Snack2,cookies x2
4,2023-07-17,,Dinner,chicken and rice
4,2023-07-17,,Snack3,cashew
4,2023-07-17,Thursday,Breakfast,peanut butter sandwich x2
4,2023-07-17,,Lunch,bananas x3
4,2023-07-17,,Dinner,"chicken, mashed potatoes, broccoli"
4,2023-07-17,,Snack3,beer x1 and biscuit x3
4,2023-07-17,Friday,Breakfast,sausage sandwich x2
4,2023-07-17,,Snack1,biscuits x3
4,2023-07-17,,Lunch,sausage and 440mL pepsi
4,2023-07-17,,Snack2,cashew
4,2023-07-17,,Dinner,avocado toasts x2
4,2023-07-17,Saturday,Breakfast,banana x3
4,2023-07-17,,Snack1,chocolate
4,2023-07-17,,Lunch,muffins x2
4,2023-07-17,,Dinner,ham and egg sandwich
4,2023-07-17,,Snack3,beer x1
4,2023-07-17,Sunday,Breakfast,toasts x2 
4,2023-07-17,,Snack1,biscuit x1
4,2023-07-17,,Lunch,"rice, chicken and broccoli"
4,2023-07-17,,Snack2,avocado x2 and peanuts
4,2023-07-17,,Dinner,ham and egg sandwich
4,2023-07-17,,Snack3,cashew
5,2023-10-09,Monday,Breakfast,toast and banana and milk tea
5,2023-10-09,,Snack1,biscuit x3
5,2023-10-09,,Lunch,banana x 2
5,2023-10-09,,Snack2,chocolate
5,2023-10-09,,Dinner,noodle and fish
5,2023-10-09,Tuesday,Breakfast,peanut butter toast x3
5,2023-10-09,,Snack1,coffee x2 and biscuit x3
5,2023-10-09,,Lunch,banana x 3
5,2023-10-09,,Dinner,noodle and fish
5,2023-10-09,Wednesday,Breakfast,"avocado x1, banana x1, bread x3"
5,2023-10-09,,Snack1,chocolate
5,2023-10-09,,Lunch,ham and cheese toast
5,2023-10-09,,Snack2,biscuit x3
5,2023-10-09,,Dinner,"ham and cheese toast, cola"
5,2023-10-09,,Snack3,hot chocolate
5,2023-10-09,Thursday,Breakfast,"banana x2, avocado x1, milk tea"
5,2023-10-09,,Snack1,lollies
5,2023-10-09,,Lunch,egg salad and cheese sandwich
5,2023-10-09,,Snack2,hot chocolate drink
5,2023-10-09,,Dinner,beef burger
5,2023-10-09,Friday,Breakfast,"banana x2, muffin x2, milk tea"
5,2023-10-09,,Snack1,cookies x2
5,2023-10-09,,Lunch,banana toast and decaf coffee
5,2023-10-09,,Snack2,"banana x1, tea, marshmallows"
5,2023-10-09,,Dinner,noodle and fish
5,2023-10-09,,Snack3,marshmallows
5,2023-10-09,Saturday,Breakfast,banana toast
5,2023-10-09,,Lunch,sausage roll
5,2023-10-09,,Snack2,lollies and milk tea
5,2023-10-09,,Dinner,"pork ribs, mac and cheese, cheesecake"
5,2023-10-09,Sunday,Breakfast,"decaf mocha, pumpkin savoury"
5,2023-10-09,,Lunch,egg cheese sandwich
5,2023-10-09,,Snack2,"lollies, decaf coffee"
5,2023-10-09,,Dinner,"banana x1, toast x2"
5,2023-10-09,,Snack3,beer
6,2023-11-20,Monday,Breakfast,chicken rice
6,2023-11-20,,Snack1,waffle sticks x5
6,2023-11-20,,Lunch,banana x2
6,2023-11-20,,Dinner,"fish, cheese sandwich"
6,2023-11-20,,Snack3,milk tea
6,2023-11-20,,Lunch,egg salad sandwich and milk tea
6,2023-11-20,,Snack2,mini pie x1
6,2023-11-20,,Dinner,"tuna sandwich, hot chocolate"
6,2023-11-20,Wednesday,Breakfast,"chicken rice, milk tea"
6,2023-11-20,,Lunch,banana x2
6,2023-11-20,,Dinner,"avocado x2, toast x1"
6,2023-11-20,,Snack3,beer x1
6,2023-11-20,Thursday,Breakfast,"fish and rice, tea"
6,2023-11-20,,Snack1,chocolate
6,2023-11-20,,Lunch,toast x2
6,2023-11-20,,Dinner,fish and rice
6,2023-11-20,Friday,Breakfast,"fish, rice and milk tea"
6,2023-11-20,,Snack1,candies x5
6,2023-11-20,,Lunch,"banana x2, milk tea"
6,2023-11-20,,Dinner,"latte (decaf), avocado and cheese sandwich"
6,2023-11-20,Saturday,Breakfast,"sandwich x1, banana x2, tea"
6,2023-11-20,,Lunch,"sandwich, tea"
6,2023-11-20,,Dinner,sushi and hot chocolate
6,2023-11-20,Sunday,Breakfast,"toast x1, tea"
6,2023-11-20,,Lunch,"vegan chipotle, hot chocolate"
6,2023-11-20,,Snack2,banana x1
6,2023-11-20,,Dinner,avocado cheese sandwich
7,2023-12-11,Monday,Breakfast,fish rice
7,2023-12-11,,Snack1,lollies
7,2023-12-11,,Lunch,avocado toast
7,2023-12-11,,Dinner,fish rice
7,2023-12-11,Tuesday,Breakfast,"beef mince, rice, tea"
7,2023-12-11,,Lunch,fish rice
7,2023-12-11,,Dinner,"beef mince, rice "
7,2023-12-11,,Snack3,beer
7,2023-12-11,Wednesday,Breakfast,"beef mince, rice, tea"
7,2023-12-11,,Snack1,"chips, 30g"
7,2023-12-11,,Lunch,avocado toast x2
7,2023-12-11,,Snack2,cookies x2
7,2023-12-11,,Dinner,"fish and rice, milk"
7,2023-12-11,Thursday,Breakfast,"chicken pie, hot chocolate"
7,2023-12-11,,Snack1,chocolate x2
7,2023-12-11,,Lunch,"fish and cheese sandwich, tea"
7,2023-12-11,,Snack2,caramel slice x1
7,2023-12-11,,Dinner,beef burger
7,2023-12-11,Friday,Breakfast,doritos 100g
7,2023-12-11,,Snack1,cookies x3
7,2023-12-11,,Lunch,fish and cheese sandwich
7,2023-12-11,,Snack2,avocado x1
7,2023-12-11,,Dinner,"beef mince, rice"
7,2023-12-11,Saturday,Breakfast,"fish, cheese sandwich"
7,2023-12-11,,Lunch,chicken sandwich
7,2023-12-11,,Snack2,eclairs x5
7,2023-12-11,,Dinner,"fish, cheese sandwich"
7,2023-12-11,,Snack3,beer
7,2023-12-11,Sunday,Breakfast,"fish, cheese sandwich"
7,2023-12-11,,Snack1,chocolate
7,2023-12-11,,Lunch,"turkish pizza, summer punch"
7,2023-12-11,,Snack2,crème brulee
7,2023-12-11,,Dinner,"fish, cheese sandwich"
8,2024-03-04,Monday,Breakfast,"avocado toast, milk 200ml"
8,2024-03-04,,Snack1,biscuits x2
8,2024-03-04,,Lunch,"chicken rice, milk 300mL"
8,2024-03-04,,Dinner,avocado toast 
8,2024-03-04,Tuesday,Breakfast,"avocado toast, milk 300ml"
8,2024-03-04,,Snack1,chocolate 30g
8,2024-03-04,,Lunch,chicken rice 
8,2024-03-04,,Dinner,avocado toast
8,2024-03-04,Wednesday,Breakfast,"avocado toast, milk tea"
8,2024-03-04,,Snack1,chocolate 30g
8,2024-03-04,,Lunch,"chicken rice, milk 300mL"
8,2024-03-04,,Snack2,biscuit x1
8,2024-03-04,,Dinner,avocado toast
8,2024-03-04,,Snack3,beer 500ml
8,2024-03-04,Thursday,Breakfast,"avocado toast, milk tea"
8,2024-03-04,,Snack1,cookies x2
8,2024-03-04,,Lunch,beef rice
8,2024-03-04,,Dinner,avocado toast
8,2024-03-04,Friday,Breakfast,"avocado toast, milk 200ml"
8,2024-03-04,,Snack1,biscuit x1
8,2024-03-04,,Lunch,"beef rice, milk tea"
8,2024-03-04,,Snack2,chocolate 20g
8,2024-03-04,,Dinner,avocado toast
8,2024-03-04,Saturday,Breakfast,"avocado toast, milk 200ml"
8,2024-03-04,,Snack1,milk tea
8,2024-03-04,,Lunch,"beef rice, milk tea"
8,2024-03-04,,Snack2,cookies x2
8,2024-03-04,,Dinner,avocado toast
8,2024-03-04,Sunday,Breakfast,"avocado toast, milk 300ml"
8,2024-03-04,,Snack1,potato chips 30g
8,2024-03-04,,Lunch,cheese sandwhich
8,2024-03-04,,Snack2,gummies 20g
8,2024-03-04,,Dinner,"chicken sandwhich, broccoli"
9,2024-05-20,Monday,Breakfast,Cheesecake x2
9,2024-05-20,,Snack1,cookies x2
9,2024-05-20,,Lunch,"avocado x1, broccoli"
9,2024-05-20,,Dinner,"carrots, broccoli, beer x1"
9,2024-05-20,,Snack3,Chocolate 50 g
9,2024-05-20,Tuesday,Breakfast,"avocado x1, broccoli"
9,2024-05-20,,Snack1,cheesecake x1
9,2024-05-20,,Lunch,"avocado x1, milk"
9,2024-05-20,,Snack2,cookie x1
9,2024-05-20,,Dinner,lamb kebab
9,2024-05-20,,Snack3,beer x1
9,2024-05-20,Wednesday,Breakfast,"egg and chicken pie, coffee"
9,2024-05-20,,Snack1,cookies x2
9,2024-05-20,,Lunch,"carrots, broccoli"
9,2024-05-20,,Dinner,"broccoli, pork, rice"
9,2024-05-20,,Snack3,beer x1
9,2024-05-20,Thursday,Breakfast,"broccoli, rice, milk tea"
9,2024-05-20,,Snack1,biscuits x2
9,2024-05-20,,Lunch,"avocado x1, broccoli, milk tea"
9,2024-05-20,,Snack2,chocolate 30g
9,2024-05-20,,Dinner,"lamb, broccoli, rice"
9,2024-05-20,,Snack3,butter mochi x2
9,2024-05-20,Friday,Breakfast,"avocado x1, broccoli, milk"
9,2024-05-20,,Snack1,butter mochi x2
9,2024-05-20,,Lunch,"broccoli, rice, milk"
9,2024-05-20,,Snack2,brownie x2
9,2024-05-20,,Dinner,"pork, broccoli, rice"
9,2024-05-20,Saturday,Breakfast,"broccoli, avocado x1"
9,2024-05-20,,Snack1,"hot chocolate, brownie x2"
9,2024-05-20,,Lunch,egg salad sandwich
9,2024-05-20,,Snack2,chips
9,2024-05-20,,Dinner,"avocado, broccoli"
9,2024-05-20,,Snack3,chocolate 30g
9,2024-05-20,Sunday,Breakfast,"butter mochi 100g, milk"
9,2024-05-20,,Lunch,avocado x1
9,2024-05-20,,Snack2,mandarin x2
9,2024-05-20,,Dinner,"broccoli, lamb, rice"
10,2024-07-01,Monday,Breakfast,"avocado x1, broccoli, milk tea"
10,2024-07-01,,Snack1,oreo x5
10,2024-07-01,,Lunch,"avocado x1, broccoli, milk tea"
10,2024-07-01,,Snack2,orea x4
10,2024-07-01,,Dinner,"avocado x1, broccoli, lamb"
10,2024-07-01,,Snack3,chocolate x4
10,2024-07-01,Tuesday,Breakfast,"avocado x1, broccoli, milk"
10,2024-07-01,,Snack1,"oreo x5, peanuts 50g"
10,2024-07-01,,Lunch,"avocado x1, cabbages, milk tea"
10,2024-07-01,,Snack2,"peanut 50g, lindor chocolate x3"
10,2024-07-01,,Dinner,"peanuts 100g, cabbages"
10,2024-07-01,,Snack3,beer
10,2024-07-01,Wednesday,Breakfast,"avocado x1, cabbages, milk tea"
10,2024-07-01,,Snack1,"tim tam x3, peanuts 50g"
10,2024-07-01,,Lunch,"avocado x1, broccoli, milk"
10,2024-07-01,,Snack2,lindor chocolate x3
10,2024-07-01,,Dinner,"rice, cabbages, lamb"
10,2024-07-01,,Snack3,"oreo x4, broccoli"
10,2024-07-01,Thursday,Breakfast,"chicken burger, coffee and milk"
10,2024-07-01,,Snack1,"tim tam x1, oreo x4"
10,2024-07-01,,Lunch,"avocado x1, broccoli, milk"
10,2024-07-01,,Snack2,peanuts 50g
10,2024-07-01,,Dinner,"rice, lamb"
10,2024-07-01,Friday,Breakfast,peanuts 100g
10,2024-07-01,,Snack1,oreo x5
10,2024-07-01,,Lunch,"soup, manderins x3"
10,2024-07-01,,Snack2,"pineapple, kiwifruit"
10,2024-07-01,,Dinner,"rice, lamb, cabbage"
10,2024-07-01,Saturday,Breakfast,"avocado x1, milk tea"
10,2024-07-01,,Snack1,peanut x 100g
10,2024-07-01,,Lunch,"ham sandwich, apple x1, banana x1"
10,2024-07-01,,Snack2,"chocolate 50g, manderins x3"
10,2024-07-01,,Dinner,"sausage roll, egg and bacon muffin"
10,2024-07-01,,Snack3,"beer x1, peanuts 150g"
10,2024-07-01,Sunday,Breakfast,"pumpkin, beef mince, cabbage, milk"
10,2024-07-01,,Snack1,lindor chocolate x3
10,2024-07-01,,Lunch,"pumpkin, beef mince, cabbage, milk"
10,2024-07-01,,Dinner,"peanuts 200g, cabbage"
10,2024-07-01,,Snack3,beer
11,2024-08-12,Monday,Breakfast,"cabbage, avocado, milk"
11,2024-08-12,,Snack1,chocolate
11,2024-08-12,,Lunch,"cabbage, avocado, milk"
11,2024-08-12,,Snack2,biscuits x5
11,2024-08-12,,Dinner,"rice, lamb, cabbage"
11,2024-08-12,Tuesday,Breakfast,"cabbage, avocado, milk"
11,2024-08-12,,Snack1,hot chocolate
11,2024-08-12,,Lunch,muffin
11,2024-08-12,,Snack2,tim tamx3
11,2024-08-12,,Dinner,"rice, lamb, cabbage"
11,2024-08-12,,Snack3,tim tamx3
11,2024-08-12,Wednesday,Breakfast,"panini sandwich, mocha (decaf)"
11,2024-08-12,,Snack1,"cheese, biscuits"
11,2024-08-12,,Lunch,meat pie
11,2024-08-12,,Dinner,chicken rice
11,2024-08-12,Thursday,Breakfast,"broccoli, avocado, milk"
11,2024-08-12,,Snack1,"chocolate, 50g"
11,2024-08-12,,Lunch,"broccoli, lamb, milk"
11,2024-08-12,,Snack2,cookies x3
11,2024-08-12,,Dinner,"rice, lamb, cabbage"
11,2024-08-12,,Snack3,chocolate
11,2024-08-12,Friday,Breakfast,"cabbage, avocado, milk"
11,2024-08-12,,Snack1,tim tamx3
11,2024-08-12,,Lunch,"cabbage, lamb, milk"
11,2024-08-12,,Snack2,"chocolate 50g, cookies x2"
11,2024-08-12,,Dinner,"rice, chicken, cabbage"
11,2024-08-12,,Snack3,chocolate
11,2024-08-12,Saturday,Breakfast,"avocado, broccoli, milk"
11,2024-08-12,,Snack1,popcorn 50g
11,2024-08-12,,Lunch,"chicken, broccoli, milk"
11,2024-08-12,,Snack2,cookies x3
11,2024-08-12,,Dinner,"rice, lamb, broccoli"
11,2024-08-12,Sunday,Breakfast,"avocado x2, broccoli, milk"
11,2024-08-12,,Snack1,cookies x3
11,2024-08-12,,Lunch,sandwich (egg salad)
11,2024-08-12,,Dinner,"rice, lamb, broccoli"
11,2024-08-12,,Snack3,"tim tamx5, cookies x4"
12,2024-10-14,Monday,Breakfast,"chicken sandwich, hot chocolate"
12,2024-10-14,,Lunch,"ham and cheese toast, decaf latte"
12,2024-10-14,,Snack2,cookie x1
12,2024-10-14,,Dinner,"pork mince, broccoli, rice"
12,2024-10-14,,Snack3,non-alcohol beer (sad)
12,2024-10-14,Tuesday,Breakfast,"ham and cheese toast, coffee and milk"
12,2024-10-14,,Lunch,"pork mince, broccoli, rice, milk"
12,2024-10-14,,Snack2,oreo x5
12,2024-10-14,,Dinner,"pork mince, broccoli, rice"
12,2024-10-14,Wednesday,Breakfast,"pork mince, broccoli, rice, milk"
12,2024-10-14,,Snack1,gummies 30g
12,2024-10-14,,Lunch,"beef sandwich, milk tea"
12,2024-10-14,,Snack2,brownie x1
12,2024-10-14,,Dinner,"mince cheese pie, half ham sandwich"
12,2024-10-14,,Snack3,non-alcohol beer x1
12,2024-10-14,Thursday,Breakfast,"egg and toast x2, milk"
12,2024-10-14,,Snack1,"gummies 30g, oreo x2"
12,2024-10-14,,Lunch,"pork mince, broccoli, rice, milk tea"
12,2024-10-14,,Snack2,"gummies 20g, biscuit x2"
12,2024-10-14,,Dinner,"chicken, broccoli, rice"
12,2024-10-14,Friday,Breakfast,"egg and toast, milk tea"
12,2024-10-14,,Snack1,biscuit x3
12,2024-10-14,,Lunch,"chicken sandwich, eggx1"
12,2024-10-14,,Snack2,chocolate 50g
12,2024-10-14,,Dinner,"ham and cheese toast 1/2, steak cheese pie 1/2"
12,2024-10-14,,Snack3,"cheese 50g, gummies 100g"
12,2024-10-14,Saturday,Breakfast,"bacon, egg, cheese bun, decaf latte"
12,2024-10-14,,Snack1,mandarin x1
12,2024-10-14,,Lunch,beef and chicken sandwich
12,2024-10-14,,Snack2,lollies 20g
12,2024-10-14,,Dinner,"donut, mince and cheese toast"
12,2024-10-14,,Snack3,biscuit
12,2024-10-14,Sunday,Breakfast,"egg and toast x2, milk, broccoli"
12,2024-10-14,,Snack1,biscuit x2
12,2024-10-14,,Lunch,"pork mince, broccoli, rice, milk"
12,2024-10-14,,Snack2,non-alcohol beer x1
12,2024-10-14,,Dinner,"eggs x2, broccoli, rice"
13,2025-03-12,Monday,Breakfast,"broccoli, pork belly, milk egg, eggx1"
13,2025-03-12,,Snack1,"biscuitx1, chocolate 30g"
13,2025-03-12,,Lunch,"Brocolli, lamb rib, milk, croissant"
13,2025-03-12,,Snack2,croissant x1
13,2025-03-12,,Dinner,"mac n cheese, broccoli"
13,2025-03-12,,Snack3,chocolate 20g
13,2025-03-12,Tuesday,Breakfast,"Broccoli, mac n cheese, milk tea"
13,2025-03-12,,Snack1,biscuits x4
13,2025-03-12,,Lunch,"broccoli, mac n cheese, milk"
13,2025-03-12,,Snack2,chocolate 30g
13,2025-03-12,,Dinner,"rice, lamb ribs, broccoli"
13,2025-03-12,,Snack3,biscuits x3
13,2025-03-12,,Snack1,biscuits x3
13,2025-03-12,,Lunch,"pie, iced chocolate with cream"
13,2025-03-12,,Snack2,"cheese x2 slices, biscuits x2"
13,2025-03-12,,Dinner,"seafood chowder, broccoli"
13,2025-03-12,,Snack3,chocolate 50g
13,2025-03-12,Thursday,Breakfast,"seafood chowder, broccoli, milk tea"
13,2025-03-12,,Snack1,biscuits x3
13,2025-03-12,,Lunch,"seafood chowder, rice, milk tea"
13,2025-03-12,,Snack2,chocolate 20g
13,2025-03-12,,Dinner,"pork belly, rice, broccoli"
13,2025-03-12,,Snack3,biscuits x2
13,2025-03-12,Friday,Breakfast,"broccoli, eggs x2, milk tea"
13,2025-03-12,,Snack1,"biscuits x2, chocolate 20g"
13,2025-03-12,,Lunch,"sweet potato, bacon salad, milk tea"
13,2025-03-12,,Snack2,"nuts 30g, chocolate 50g"
13,2025-03-12,,Dinner,"chicken cheese toast, decaf cappucino, "
13,2025-03-12,,Snack3,"beer x1, biscuits x5"
13,2025-03-12,Saturday,Breakfast,"broccoli, pork belly, milk tea"
13,2025-03-12,,Snack1,manderin x1
13,2025-03-12,,Lunch,onion cheese sandwich
13,2025-03-12,,Snack2,gummies 150g
13,2025-03-12,,Dinner,"lamb ribs, peanuts 200g"
13,2025-03-12,,Snack3,"beer x3, potato chips 140g"
13,2025-03-12,Sunday,Breakfast,"Broccoli, pork belly, egg x1"
13,2025-03-12,,Snack1,biscuits x4
13,2025-03-12,,Lunch,"broccoli, eggs x2"
13,2025-03-12,,Snack2,chocolate 20g
13,2025-03-12,,Dinner,"broccoli, ham and cheese croissant, egg x1"
13,2025-03-12,,Snack3,beer x1
14,2025-04-23,Monday,Breakfast,"hot chocolate, beef mince, rice"
14,2025-04-23,,Lunch,"rice, beef mince"
14,2025-04-23,,Snack2,pistacchio 20g
14,2025-04-23,,Dinner,"fish, broccoli, rice"
14,2025-04-23,Tuesday,Breakfast,"chicken burger, latte"
14,2025-04-23,,Lunch,"chicken sandwich, mint tea with honey"
14,2025-04-23,,Dinner,rice and fish
14,2025-04-23,Wednesday,Breakfast,rice and fish
14,2025-04-23,,Lunch,protein bar x4
14,2025-04-23,,Snack2,"banana x2, cookies x4"
14,2025-04-23,,Dinner,powerade 500ml
14,2025-04-23,,Snack3,chocolate 50g
14,2025-04-23,Thursday,Breakfast,"beef mince, broccoli, rice"
14,2025-04-23,,Snack1,lollies 20g
14,2025-04-23,,Lunch,"eggs x2, broccoli, rice"
14,2025-04-23,,Snack2,chocolate 100g
14,2025-04-23,,Dinner,broccoli and rice
14,2025-04-23,Friday,Breakfast,"beef mince, broccoli, rice"
14,2025-04-23,,Snack1,chocolate 50 g
14,2025-04-23,,Lunch,"eggs x2, broccoli, rice"
14,2025-04-23,,Snack2,boiled egg x1
14,2025-04-23,,Dinner,"beef mince, broccoli, rice"
14,2025-04-23,,Snack3,beer x1
14,2025-04-23,Saturday,Breakfast,"beef mince, broccoli, rice"
14,2025-04-23,,Snack1,lollies 30g
14,2025-04-23,,Lunch,"chicken sandwich, decaf iced latte"
14,2025-04-23,,Snack2,boiled egg x1
14,2025-04-23,,Dinner,"boiled egg x2, broccoli, rice"
14,2025-04-23,,Snack3,beer x1
14,2025-04-23,Sunday,Breakfast,"beef mince, broccoli, rice"
14,2025-04-23,,Snack1,chocolate 50g
14,2025-04-23,,Lunch,"muffin n'cream x1, fried eggs x2"
14,2025-04-23,,Snack2,potato chips 150g
14,2025-04-23,,Dinner,"potato chips 200g, pistachio 100g"
14,2025-04-23,,Snack3,beer x3
